t_s,ch1,ch2,p,i_gain,ival,output_direct
0.0,0.3486328125,0.0,0.0,0.0,0.20654296875,off
0.4813191890716553,0.3494873046875,0.0,0.0,0.0,0.20654296875,off
0.9205572605133057,0.3499755859375,0.0,0.0,0.0,0.20654296875,off
1.3533287048339844,0.3466796875,0.0,0.0,0.0,0.20654296875,off
1.7933754920959473,0.3486328125,0.0,0.0,0.0,0.20654296875,off
2.241298198699951,0.349365234375,0.0,0.0,0.0,0.20654296875,off
2.738743543624878,0.3468017578125,0.0,0.0,0.0,0.20654296875,off
3.2347753047943115,0.349365234375,0.0,0.0,0.0,0.20654296875,off
3.7319135665893555,0.348876953125,0.0,0.0,0.0,0.20654296875,off
4.229487180709839,0.3477783203125,0.0,0.0,0.0,0.20654296875,off
4.678715705871582,0.3485107421875,0.0,0.0,0.0,0.20654296875,off
