ch1,ch2,elapsed_s,i,ival,p,phase
0.348388671875,0.024169921875,36.753363847732544,10.000527898530768,0.001708984375,0.010009765625,monitor
0.18603515625,-0.0003662109375,37.16849613189697,10.000527898530768,-0.0018310546875,0.010009765625,monitor
0.1854248046875,-0.0030517578125,37.60339951515198,10.000527898530768,-0.003662109375,0.010009765625,monitor
0.1754150390625,-0.0040283203125,38.041720151901245,10.000527898530768,-0.00439453125,0.010009765625,monitor
0.17236328125,-0.0052490234375,38.411834955215454,10.000527898530768,-0.005615234375,0.010009765625,monitor
0.1785888671875,-0.0062255859375,38.78649282455444,10.000527898530768,-0.0072021484375,0.010009765625,monitor
0.17724609375,-0.008056640625,39.15875744819641,10.000527898530768,-0.0079345703125,0.010009765625,monitor
0.1646728515625,-0.0084228515625,39.54770112037659,10.000527898530768,-0.0087890625,0.010009765625,monitor
0.166259765625,-0.0084228515625,39.9185791015625,10.000527898530768,-0.0086669921875,0.010009765625,monitor
0.16748046875,-0.0091552734375,40.306745290756226,10.000527898530768,-0.0093994140625,0.010009765625,monitor
0.178466796875,-0.0096435546875,40.67930722236633,10.000527898530768,-0.010009765625,0.010009765625,monitor
0.174560546875,-0.0108642578125,41.11701965332031,10.000527898530768,-0.01123046875,0.010009765625,monitor
0.1871337890625,-0.0118408203125,41.491382122039795,10.000527898530768,-0.01220703125,0.010009765625,monitor
