action,center_ch1,center_error_to_target,center_ival,ch1,ch1_max,ch1_mean,ch1_min,ch1_ptp,ch1_std,ch2,ch2_max,ch2_mean,ch2_min,ch2_ptp,drop_from_baseline,elapsed_s,error_to_target,i_gain,index,ival,ival_drift,ival_end,ival_saturated,ival_start,local_drop,max_abs_delta_ch1,minus_ch1,minus_delta_ch1,n,ok,out2_saturated,p,periodic_or_large,phase,platform_like,plus_ch1,plus_delta_ch1,probe_inconclusive,probe_min_ch1_change,probe_point,readback_i,readback_ival,readback_p,reason,requested_i,requested_ival,requested_p,selected_direction,selected_start,selected_step,selected_stop_limit,setting,t_s,target_crossings,target_error_mean,too_deep
,,,,0.096923828125,,,,,,-0.05908203125,,,,,,32.449851512908936,,-4.997947940025335,5,-0.0596923828125,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-5.0,2.8194103240966797,,,
,,,,,0.1087646484375,0.09751383463541667,0.087646484375,0.0211181640625,0.007600585799827369,,-0.0545654296875,-0.058186848958333336,-0.060791015625,0.0062255859375,,32.449851512908936,,,,,0.0003662109375,-0.0596923828125,False,-0.06005859375,,,,,6,True,False,,False,i_test_summary,False,,,,,,-4.997947940025335,,,,-5.0,,,,,,,-5.0,,4,0.0037027994791666713,False
,,,,0.106689453125,,,,,,-0.0596923828125,,,,,,33.07203984260559,,-10.000527898530768,0,-0.0587158203125,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-10.0,0.0,,,
,,,,0.0980224609375,,,,,,-0.0579833984375,,,,,,33.64604067802429,,-10.000527898530768,1,-0.057861328125,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-10.0,0.5740008354187012,,,
,,,,0.102294921875,,,,,,-0.0587158203125,,,,,,34.20422697067261,,-10.000527898530768,2,-0.0606689453125,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-10.0,1.1321871280670166,,,
,,,,0.1016845703125,,,,,,-0.062744140625,,,,,,34.76609826087952,,-10.000527898530768,3,-0.06298828125,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-10.0,1.6940584182739258,,,
,,,,0.096923828125,,,,,,-0.0635986328125,,,,,,35.32216739654541,,-10.000527898530768,4,-0.062255859375,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-10.0,2.2501275539398193,,,
,,,,0.1021728515625,,,,,,-0.0638427734375,,,,,,35.879531145095825,,-10.000527898530768,5,-0.0638427734375,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-10.0,2.8074913024902344,,,
,,,,,0.106689453125,0.10129801432291667,0.096923828125,0.009765625,0.003184309386863823,,-0.0579833984375,-0.06109619140625,-0.0638427734375,0.005859375,,35.879531145095825,,,,,-0.005126953125,-0.0638427734375,False,-0.0587158203125,,,,,6,True,False,,False,i_test_summary,False,,,,,,-10.000527898530768,,,,-10.0,,,,,,,-10.0,,0,0.007486979166666671,False
,,,,0.0965576171875,,,,,,-0.0557861328125,,,,,,36.502774715423584,,-49.99800747417374,0,-0.0531005859375,,,,,,,,,,,,-0.0009765625,,i_test,,,,,,,,,,,,,,,,,,-50.0,0.0,,,
